id,region,game_mode,patch,blue_team,red_team,winning_team
177,NA1,ARAM,14.13.596.7996,"{Garen,Yuumi,Veigar,Kalista,Brand}","{Teemo,Anivia,Lillia,Neeko,Malphite}",0
178,NA1,ARAM,14.13.598.9749,"{Caitlyn,Jhin,Nautilus,Yasuo,Mordekaiser}","{Fizz,Karthus,Annie,Xayah,Sett}",0
180,NA1,ARAM,14.13.596.7996,"{Gragas,Sion,Samira,KogMaw,Corki}","{Maokai,Brand,Kayn,Sona,Alistar}",1
181,NA1,ARAM,14.13.596.7996,"{Nami,FiddleSticks,Gnar,Udyr,Jinx}","{Morgana,Thresh,Velkoz,Mordekaiser,Urgot}",0
182,NA1,ARAM,14.13.598.9749,"{Ahri,Ashe,Teemo,Sona,Kennen}","{Varus,Ezreal,Gnar,Akshan,Annie}",0
183,NA1,ARAM,14.13.596.7996,"{Urgot,Milio,Lucian,Heimerdinger,Rakan}","{Tryndamere,Nidalee,Syndra,Aatrox,Rengar}",0
185,NA1,ARAM,14.13.596.7996,"{Illaoi,Renata,Warwick,Sylas,TwistedFate}","{Viktor,TahmKench,Samira,Vi,Nidalee}",1
186,NA1,ARAM,14.13.598.9749,"{Gnar,Gwen,Jhin,Vayne,MasterYi}","{Graves,Ashe,Caitlyn,Pantheon,Ryze}",0
187,NA1,ARAM,14.13.598.9749,"{Fizz,Taliyah,Pantheon,Olaf,Ahri}","{Poppy,DrMundo,Chogath,Shaco,Karma}",0
189,NA1,ARAM,14.13.596.7996,"{MissFortune,Nidalee,Khazix,Viego,TahmKench}","{LeeSin,Zilean,Azir,Ornn,Kayle}",0
191,NA1,ARAM,14.13.596.7996,"{Lux,Tryndamere,Viktor,Yuumi,Twitch}","{Taliyah,Graves,Fizz,Tristana,Garen}",0
195,NA1,ARAM,14.13.596.7996,"{Ivern,Seraphine,Karma,Kindred,Zed}","{Ashe,Braum,JarvanIV,Nautilus,KogMaw}",1
197,NA1,ARAM,14.13.596.7996,"{TwistedFate,Viego,Smolder,Yasuo,Leona}","{Neeko,Sett,Brand,Nocturne,RekSai}",1
198,NA1,ARAM,14.13.596.7996,"{Aatrox,Sejuani,Orianna,Morgana,Veigar}","{Corki,Hwei,Zeri,Brand,Kalista}",1
200,NA1,ARAM,14.13.596.7996,"{Ryze,Zilean,Zed,Sivir,Leona}","{MasterYi,Renata,Kaisa,DrMundo,Kayle}",0
201,NA1,ARAM,14.13.596.7996,"{Yasuo,Anivia,Poppy,LeeSin,Ashe}","{KogMaw,Janna,TwistedFate,Syndra,Yone}",0
203,NA1,ARAM,14.13.596.7996,"{Leblanc,Ashe,Karma,Ezreal,Sivir}","{Janna,Irelia,Viego,Xayah,Pyke}",1
205,NA1,ARAM,14.13.596.4541,"{Seraphine,Xerath,Zeri,Rammus,Neeko}","{Mordekaiser,Karthus,Renekton,Anivia,Vayne}",1
207,NA1,ARAM,14.13.596.7996,"{Nami,Velkoz,Zed,Teemo,Sivir}","{MissFortune,Draven,Varus,Zoe,TahmKench}",1
208,NA1,ARAM,14.13.596.7996,"{Swain,Alistar,Zilean,Caitlyn,Yorick}","{Sejuani,Leblanc,Braum,AurelionSol,RekSai}",0
209,NA1,ARAM,14.13.598.9749,"{Xerath,Blitzcrank,Katarina,Karthus,Galio}","{Yone,Ziggs,Jayce,Vayne,Pyke}",1
210,NA1,ARAM,14.13.596.7996,"{MasterYi,Orianna,FiddleSticks,Lulu,Garen}","{Viego,Lissandra,Ashe,Xayah,Veigar}",0
211,NA1,ARAM,14.13.596.7996,"{Jhin,Lucian,Kayn,Xerath,Lillia}","{Graves,MissFortune,Heimerdinger,Ezreal,Sett}",0
213,NA1,ARAM,14.13.596.7996,"{Renata,Caitlyn,Ryze,FiddleSticks,Sivir}","{Volibear,Urgot,Corki,Varus,Fizz}",0
214,NA1,ARAM,14.13.598.9749,"{TwistedFate,Graves,FiddleSticks,Tristana,Heimerdinger}","{Amumu,Quinn,Morgana,Brand,Mordekaiser}",1
215,NA1,ARAM,14.13.596.7996,"{Seraphine,Graves,Braum,Akali,Ekko}","{Sona,Volibear,Kindred,Garen,Elise}",0
217,NA1,ARAM,14.13.596.7996,"{Varus,Kayn,Chogath,Annie,Zilean}","{Twitch,Hecarim,Volibear,MonkeyKing,Leblanc}",1
218,NA1,ARAM,14.13.598.9749,"{JarvanIV,Poppy,Ekko,Aatrox,Tryndamere}","{Gnar,Caitlyn,Cassiopeia,Alistar,Viego}",1
219,NA1,ARAM,14.13.598.9749,"{Taliyah,Lucian,Karthus,Galio,Nasus}","{Sejuani,LeeSin,Veigar,Xayah,Orianna}",1
220,NA1,ARAM,14.13.596.7996,"{Syndra,Vayne,Akshan,Ashe,Yuumi}","{MasterYi,Diana,Zoe,Caitlyn,Lulu}",1
223,NA1,ARAM,14.13.596.7996,"{Gangplank,Zac,Jax,Jhin,Karma}","{Nautilus,Kennen,Nami,Gragas,Jinx}",1
224,NA1,ARAM,14.13.598.9749,"{Fiora,Leona,Soraka,Jax,Leblanc}","{Gwen,Amumu,Varus,Garen,Jhin}",1
229,NA1,ARAM,14.13.596.7996,"{Kayle,Ornn,Fizz,Ryze,Samira}","{Syndra,Jinx,Swain,Kalista,Thresh}",1
231,NA1,ARAM,14.13.596.7996,"{MissFortune,Velkoz,Belveth,Yasuo,Janna}","{Veigar,Ornn,Renata,Xayah,MonkeyKing}",1
234,NA1,ARAM,14.13.596.7996,"{Jhin,Pyke,Ashe,Taliyah,Fiora}","{Teemo,Kindred,Skarner,Urgot,Maokai}",1
235,NA1,ARAM,14.13.596.7996,"{Leblanc,Jhin,Akali,JarvanIV,Maokai}","{MasterYi,Hwei,Zoe,Vayne,Kennen}",1
236,NA1,ARAM,14.13.598.9749,"{Nocturne,Katarina,Smolder,Nilah,Jhin}","{Senna,Shaco,Veigar,Syndra,Lucian}",1
237,NA1,ARAM,14.13.596.7996,"{Lucian,Morgana,Ryze,Smolder,Taric}","{Leona,Kaisa,Pyke,Gragas,Kindred}",1
240,NA1,ARAM,14.13.598.9749,"{Twitch,Draven,Braum,Yorick,Ahri}","{Warwick,Vayne,Kennen,Nautilus,Lux}",0
241,NA1,ARAM,14.13.596.7996,"{Gragas,Yasuo,Varus,LeeSin,Bard}","{Taliyah,Galio,Kayle,MissFortune,Sion}",1
242,NA1,ARAM,14.13.596.7996,"{Bard,Katarina,Udyr,Ezreal,Nautilus}","{Samira,Nasus,Hwei,Riven,Soraka}",1
243,NA1,ARAM,14.13.598.9749,"{Milio,Nilah,Tristana,Neeko,Rakan}","{Quinn,Taric,Sona,Hwei,Samira}",0
244,NA1,ARAM,14.13.596.7996,"{Jinx,Vi,Pantheon,Yone,Amumu}","{MissFortune,Veigar,Vayne,Lux,Sejuani}",0
250,NA1,ARAM,14.13.598.9749,"{Malzahar,Sivir,KogMaw,Karma,Ziggs}","{Garen,Sett,Tristana,Leona,Teemo}",0
252,NA1,ARAM,14.13.598.9749,"{Sett,Brand,Nidalee,Chogath,LeeSin}","{Quinn,Lillia,Gragas,RekSai,Viego}",1
289,NA1,ARAM,14.13.598.9749,"{Katarina,Skarner,Pyke,Viego,Zyra}","{Diana,Yasuo,MissFortune,Vayne,Kayn}",1
254,NA1,ARAM,14.13.596.7996,"{Katarina,Neeko,Trundle,Velkoz,Kalista}","{Swain,Thresh,Varus,Senna,LeeSin}",0
256,NA1,ARAM,14.13.596.7996,"{XinZhao,Naafiri,Teemo,Corki,Singed}","{FiddleSticks,Nidalee,Ziggs,Nami,Orianna}",1
257,NA1,ARAM,14.13.598.9749,"{Bard,Naafiri,Senna,Gnar,Qiyana}","{Lulu,Jayce,Zac,MasterYi,Shaco}",1
258,NA1,ARAM,14.13.596.7996,"{Darius,Thresh,Varus,Ahri,Lucian}","{Rumble,Yone,Skarner,Ryze,Kindred}",0
259,NA1,ARAM,14.13.596.7996,"{MonkeyKing,Teemo,DrMundo,Kindred,Ziggs}","{Annie,Kalista,Mordekaiser,Ahri,MissFortune}",1
264,NA1,ARAM,14.13.596.7996,"{Rammus,Brand,Akshan,Kayle,Lulu}","{Braum,Graves,Ryze,Jhin,Shaco}",1
265,NA1,ARAM,14.13.596.7996,"{Tristana,Caitlyn,Mordekaiser,Rammus,Varus}","{Ezreal,Sejuani,Qiyana,FiddleSticks,Lillia}",1
266,NA1,ARAM,14.13.598.9749,"{Ashe,Karma,Anivia,Morgana,AurelionSol}","{Ekko,Galio,Nasus,Qiyana,Teemo}",1
267,NA1,ARAM,14.13.596.7996,"{Fizz,Fiora,Kayle,Nami,Mordekaiser}","{Jayce,Maokai,Jinx,Lux,Veigar}",1
268,NA1,ARAM,14.13.596.7996,"{Heimerdinger,Draven,Malzahar,TwistedFate,Janna}","{Aatrox,Yuumi,Bard,Twitch,Annie}",0
269,NA1,ARAM,14.13.596.7996,"{RekSai,Smolder,Yone,Milio,Nautilus}","{Braum,MasterYi,Zeri,KSante,Kaisa}",1
271,NA1,ARAM,14.13.596.7996,"{Akshan,Kennen,Lux,Hecarim,Ahri}","{Kayle,Zeri,Sona,Braum,Naafiri}",1
273,NA1,ARAM,14.13.596.7996,"{Nunu,Khazix,Rumble,MissFortune,Zac}","{Teemo,Soraka,Kalista,Nautilus,Sylas}",1
274,NA1,ARAM,14.13.598.9749,"{Zac,Ahri,Rell,Amumu,MissFortune}","{Caitlyn,Renekton,Garen,Kled,Vladimir}",1
275,NA1,ARAM,14.13.596.7996,"{Tristana,Rumble,Morgana,TwistedFate,Kayle}","{Caitlyn,Ornn,FiddleSticks,Lucian,Lillia}",1
276,NA1,ARAM,14.13.596.7996,"{Gwen,Zeri,Darius,MissFortune,Rammus}","{Leblanc,Ornn,Jax,Ashe,Pyke}",0
278,NA1,ARAM,14.13.598.9749,"{Lux,Graves,Kaisa,Nautilus,Kayle}","{Chogath,FiddleSticks,Katarina,Talon,Xerath}",1
