id,match_id,region,game_mode,elo,version,blue_one,blue_two,blue_three,blue_four,blue_five,red_one,red_two,red_three,red_four,red_five,winning_team
1909,NA1_5030898987,NA1,ARAM,UNRANKED,14.13.596.7996,Khazix,Morgana,Zyra,Bard,Shyvana,Akshan,Smolder,Pantheon,Xayah,Karma,1
1910,NA1_5030849420,NA1,ARAM,PLATINUM II,14.13.596.7996,Zac,Blitzcrank,Xerath,Xayah,Caitlyn,Rumble,Corki,Graves,Leblanc,Kayle,1
1911,NA1_5030130563,NA1,ARAM,UNRANKED,14.13.596.7996,Zyra,Malphite,Taliyah,Pantheon,XinZhao,Renekton,Leblanc,Blitzcrank,JarvanIV,Syndra,1
1912,NA1_5028331563,NA1,ARAM,UNRANKED,14.13.596.7996,Senna,Morgana,Zed,Syndra,Chogath,Sejuani,Taric,Nidalee,Diana,Naafiri,1
1913,NA1_5028324153,NA1,ARAM,UNRANKED,14.13.596.7996,Malphite,Smolder,MonkeyKing,Brand,Khazix,Ahri,Heimerdinger,Kaisa,Tristana,Malzahar,0
1914,NA1_5028318818,NA1,ARAM,BRONZE I,14.13.596.7996,Ornn,Yasuo,Jinx,TwistedFate,Pantheon,Lucian,Darius,Malphite,Caitlyn,Graves,0
1915,NA1_5028092624,NA1,ARAM,PLATINUM II,14.13.596.7996,Zac,FiddleSticks,Morgana,Draven,Nunu,Volibear,LeeSin,Velkoz,Shen,MonkeyKing,0
2796,NA1_5034400180,NA1,ARAM,UNRANKED,14.13.598.9749,Nasus,Ashe,Vex,Brand,Sivir,Varus,Karma,Ahri,Shaco,Smolder,1
2803,NA1_5034050470,NA1,ARAM,UNRANKED,14.13.598.9749,Sylas,Caitlyn,Garen,Brand,Leblanc,Yone,Neeko,Zoe,Karthus,Warwick,0
2826,NA1_5035425329,NA1,ARAM,UNRANKED,14.13.598.9749,Pyke,Sylas,Zyra,Alistar,Yorick,Veigar,Blitzcrank,Karma,Xayah,Aphelios,1
2835,NA1_5033498214,NA1,ARAM,UNRANKED,14.13.598.9749,Thresh,Trundle,Galio,Kayle,Samira,Heimerdinger,Ekko,Nautilus,Ahri,Janna,1
2839,NA1_5033432107,NA1,ARAM,PLATINUM II,14.13.598.9749,Caitlyn,Amumu,Darius,Udyr,Ahri,Heimerdinger,Trundle,Blitzcrank,Lucian,Viego,1
2842,NA1_5035495845,NA1,ARAM,PLATINUM IV,14.13.598.9749,Aatrox,Quinn,Khazix,Warwick,Kalista,Sejuani,Ahri,Brand,Sivir,Lucian,1
2845,NA1_5035318091,NA1,ARAM,UNRANKED,14.13.598.9749,Malzahar,Rengar,Sett,Shaco,Kayle,Ryze,Chogath,Pyke,Bard,Jinx,0
2848,NA1_5029277635,NA1,ARAM,SILVER IV,14.13.596.7996,Vayne,Trundle,Smolder,Orianna,Bard,Khazix,Rell,Mordekaiser,Hecarim,Caitlyn,0
1936,NA1_5035072571,NA1,ARAM,UNRANKED,14.13.598.9749,Trundle,Quinn,AurelionSol,Ivern,Varus,Skarner,Vi,Pyke,Evelynn,Senna,1
1937,NA1_5035051295,NA1,ARAM,UNRANKED,14.13.598.9749,Draven,Yuumi,Sett,Kayle,Pantheon,Brand,Leblanc,Swain,Aphelios,Shaco,0
1938,NA1_5035027836,NA1,ARAM,UNRANKED,14.13.598.9749,Lux,Karthus,Jhin,Renekton,Nidalee,Poppy,Twitch,Galio,Syndra,Lucian,1
1939,NA1_5034504488,NA1,ARAM,UNRANKED,14.13.598.9749,Pantheon,Khazix,Sivir,Varus,Leona,LeeSin,Zyra,TwistedFate,Karthus,Nidalee,1
1940,NA1_5034480386,NA1,ARAM,UNRANKED,14.13.598.9749,Caitlyn,DrMundo,Velkoz,Karma,Talon,Shaco,Leona,Blitzcrank,Heimerdinger,Kindred,1
1947,NA1_5033227784,NA1,ARAM,UNRANKED,14.13.598.9749,Samira,DrMundo,Annie,Karthus,Viego,Akali,Milio,Graves,JarvanIV,Vayne,0
1948,NA1_5033211227,NA1,ARAM,UNRANKED,14.13.598.9749,Zeri,Bard,Lucian,Aatrox,Sylas,Kalista,Karthus,Kled,TahmKench,Sion,1
1949,NA1_5033199335,NA1,ARAM,UNRANKED,14.13.598.9749,Veigar,Akali,Kaisa,FiddleSticks,Lulu,Nidalee,Rumble,Darius,Illaoi,Tristana,1
1950,NA1_5031954170,NA1,ARAM,UNRANKED,14.13.598.9749,Khazix,Senna,MissFortune,Diana,Thresh,Sivir,Shaco,Lux,Lulu,DrMundo,1
1951,NA1_5031926695,NA1,ARAM,UNRANKED,14.13.598.9749,Rammus,Graves,Cassiopeia,Kassadin,Qiyana,Velkoz,Hwei,Irelia,Soraka,Senna,0
1952,NA1_5031472627,NA1,ARAM,UNRANKED,14.13.598.9749,Braum,Ekko,Rell,MonkeyKing,Zilean,Akali,Zeri,Ivern,Velkoz,Gragas,1
1953,NA1_5031464534,NA1,ARAM,SILVER IV,14.13.598.9749,Shen,Jhin,Nidalee,Fiora,Zac,Naafiri,Milio,Tristana,Mordekaiser,Swain,1
1954,NA1_5031456090,NA1,ARAM,SILVER IV,14.13.598.9749,Darius,Katarina,Seraphine,Soraka,Jinx,Teemo,Nilah,Velkoz,Hwei,Garen,0
1956,NA1_5034993645,NA1,ARAM,UNRANKED,14.13.598.9749,Malzahar,Pantheon,Evelynn,Zeri,Jinx,Shen,Alistar,Jayce,Caitlyn,Senna,1
1957,NA1_5034980822,NA1,ARAM,PLATINUM II,14.13.598.9749,Lux,MissFortune,Swain,Vayne,Katarina,Kindred,Syndra,Seraphine,Heimerdinger,Sett,1
1958,NA1_5034882569,NA1,ARAM,UNRANKED,14.13.598.9749,Akshan,Illaoi,Akali,Nunu,Ziggs,Khazix,Amumu,Sylas,Yone,Alistar,0
1959,NA1_5034355267,NA1,ARAM,UNRANKED,14.13.598.9749,Jhin,Kassadin,Nidalee,Kalista,Morgana,Draven,Nautilus,Malphite,Volibear,Azir,0
1960,NA1_5034346911,NA1,ARAM,UNRANKED,14.13.598.9749,Ahri,TahmKench,MissFortune,Syndra,Rammus,Vayne,Sylas,Skarner,Nami,Soraka,1
1961,NA1_5034326500,NA1,ARAM,UNRANKED,14.13.598.9749,Syndra,Kennen,Darius,JarvanIV,LeeSin,Khazix,Draven,Xerath,Thresh,Nami,1
1962,NA1_5034089327,NA1,ARAM,UNRANKED,14.13.598.9749,Jhin,Ezreal,MonkeyKing,Teemo,Lux,AurelionSol,Pyke,Annie,TwistedFate,Soraka,1
1963,NA1_5034076683,NA1,ARAM,UNRANKED,14.13.598.9749,Lux,Kindred,Rumble,Malphite,Hwei,MissFortune,Yorick,Lissandra,Galio,Vex,1
1964,NA1_5033671416,NA1,ARAM,UNRANKED,14.13.598.9749,Gangplank,Akali,Hwei,Pantheon,Twitch,Lulu,Seraphine,Vex,Taliyah,Urgot,0
1965,NA1_5033663875,NA1,ARAM,UNRANKED,14.13.598.9749,Ziggs,Jayce,MissFortune,MonkeyKing,Kaisa,Ivern,Draven,Renata,Warwick,Gragas,0
1966,NA1_5033639594,NA1,ARAM,UNRANKED,14.13.598.9749,XinZhao,Graves,Karma,Lux,Shen,Senna,Khazix,Bard,Vex,Yuumi,0
